2026-03-06 12:23:48 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:23:49 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:23:49 | DEBUG    | bot.client | Server time sync: offset=-5346ms
2026-03-06 12:23:49 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5346ms)
2026-03-06 12:23:49 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.002', 'stopPrice': '75000'}
2026-03-06 12:23:49 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.002', 'stopPrice': '75000', 'timestamp': 1772780024060, 'recvWindow': 5000, 'signature': '1ec81f2c4c7f9a7cc4f64d94796149313b218e8a250b3a2278f9c0c10dbc9351'}
2026-03-06 12:23:49 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=SELL&type=STOP_MARKET&quantity=0.002&stopPrice=75000&timestamp=1772780024060&recvWindow=5000&signature=1ec81f2c4c7f9a7cc4f64d94796149313b218e8a250b3a2278f9c0c10dbc9351 HTTP/1.1" 400 115
2026-03-06 12:23:49 | DEBUG    | bot.client | ← POST https://testnet.binancefuture.com/fapi/v1/order | status=400 | body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-03-06 12:23:49 | ERROR    | bot.client | HTTP error: Binance API error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-06 12:24:20 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:24:21 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:24:21 | DEBUG    | bot.client | Server time sync: offset=-5303ms
2026-03-06 12:24:21 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5303ms)
2026-03-06 12:24:21 | DEBUG    | bot.client | → GET https://testnet.binancefuture.com/fapi/v1/exchangeInfo | params={}
2026-03-06 12:24:21 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/exchangeInfo HTTP/1.1" 200 None
2026-03-06 12:24:21 | DEBUG    | bot.client | ← GET https://testnet.binancefuture.com/fapi/v1/exchangeInfo | status=200 | body={"timezone":"UTC","serverTime":1772685584858,"futuresType":"U_MARGINED","rateLimits":[{"rateLimitType":"REQUEST_WEIGHT","interval":"MINUTE","intervalNum":1,"limit":6000},{"rateLimitType":"ORDERS","interval":"MINUTE","intervalNum":1,"limit":1200},{"rateLimitType":"ORDERS","interval":"SECOND","intervalNum":10,"limit":300}],"exchangeFilters":[],"assets":[{"asset":"USDT","marginAvailable":true,"autoAssetExchange":"-100"},{"asset":"BTC","marginAvailable":true,"autoAssetExchange":"-0.00100000"},{"asse
2026-03-06 12:24:54 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:24:54 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:24:54 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:24:55 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order/algo?symbol=BTCUSDT&side=SELL&type=STOP_MARKET&quantity=0.002&stopPrice=75000&timestamp=1772780089547&recvWindow=5000&signature=47a60a425826eefb3eda1fc447ed0a50663dccf42c8b551bf3a381a8a22e8af2 HTTP/1.1" 404 None
2026-03-06 12:25:22 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:25:23 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:25:23 | DEBUG    | bot.client | Server time sync: offset=-5373ms
2026-03-06 12:25:23 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5373ms)
2026-03-06 12:25:23 | INFO     | bot.client | Placing order: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'TAKE_PROFIT_MARKET', 'quantity': '0.002', 'stopPrice': '100000'}
2026-03-06 12:25:23 | DEBUG    | bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'TAKE_PROFIT_MARKET', 'quantity': '0.002', 'stopPrice': '100000', 'timestamp': 1772780118413, 'recvWindow': 5000, 'signature': 'ce7977b5380c9438be904a04ae5ea682dce58fc600debe10ce7e614e27d29c9b'}
2026-03-06 12:25:23 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order?symbol=BTCUSDT&side=SELL&type=TAKE_PROFIT_MARKET&quantity=0.002&stopPrice=100000&timestamp=1772780118413&recvWindow=5000&signature=ce7977b5380c9438be904a04ae5ea682dce58fc600debe10ce7e614e27d29c9b HTTP/1.1" 400 115
2026-03-06 12:25:23 | DEBUG    | bot.client | ← POST https://testnet.binancefuture.com/fapi/v1/order | status=400 | body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-03-06 12:25:23 | ERROR    | bot.client | HTTP error: Binance API error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-06 12:27:20 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:27:21 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:27:21 | DEBUG    | bot.client | Server time sync: offset=-5368ms
2026-03-06 12:27:21 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5368ms)
2026-03-06 12:27:21 | DEBUG    | bot.client | → GET https://testnet.binancefuture.com/fapi/v1/ping | params={}
2026-03-06 12:27:21 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/ping HTTP/1.1" 200 2
2026-03-06 12:27:21 | DEBUG    | bot.client | ← GET https://testnet.binancefuture.com/fapi/v1/ping | status=200 | body={}
2026-03-06 12:27:21 | INFO     | bot.client | Ping successful.
2026-03-06 12:27:21 | INFO     | __main__ | CLI order request | symbol=BTCUSDT side=BUY type=MARKET qty=0.002 price=None stop_price=None
2026-03-06 12:27:21 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-03-06 12:27:22 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-06 12:27:22 | DEBUG    | bot.client | Server time sync: offset=-5304ms
2026-03-06 12:27:22 | INFO     | bot.client | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com, time_offset=-5304ms)
2026-03-06 12:27:22 | INFO     | bot.orders | Placing MARKET order | symbol=BTCUSDT side=BUY qty=0.002
